판매일시,파종일시,도,PC1,PC2,PC3,PC4,가격,도_num,파종연월,판매연월
2015-06-13,2015-02-13,부산광역시,-0.979254756146481,-0.6519708168647492,0.3550723715870005,1.1033405260600555,-1.0,13,2015-02,2015-06
2015-06-13,2015-02-13,서울특별시,0.600613477142763,-1.4148520093663288,-0.10296985287433898,1.1007099539784613,-1.0,3,2015-02,2015-06
2015-06-13,2015-02-13,울산광역시,-0.3808829653667507,-0.9515100475476677,-0.0702670250652979,0.5522412800602322,-1.0,10,2015-02,2015-06
2015-06-13,2015-02-13,인천광역시,-0.28193837613860057,-0.36458867668152434,0.24665898944927792,0.8359270348845244,-1.0,2,2015-02,2015-06
2015-06-13,2015-02-13,전라남도,-1.5818942868009436,-0.15196918915330557,0.16950519241922396,0.17240093423617914,-1.0,14,2015-02,2015-06
2015-06-13,2015-02-13,전라북도,-0.5860874742933168,-0.4410542445801703,0.06052570657565305,0.27901274331988407,-1.0,8,2015-02,2015-06
2015-06-13,2015-02-13,충청남도,-1.146747525590545,-0.30115444333897223,0.034707527261781786,0.03629942821224724,-1.0,6,2015-02,2015-06
2015-06-13,2015-02-13,충청북도,0.17362789073051546,-0.8090301357868543,0.1302384064593847,0.9052202783211852,-1.0,5,2015-02,2015-06
2015-06-14,2015-02-14,강원도,1.761433620279633,0.5678082901460831,0.00790997412222677,-0.17225694757935123,16600.0,0,2015-02,2015-06
2015-06-14,2015-02-14,경기도,3.0536196725850124,-1.0804178811663776,-0.5074971759964254,0.2925455637548292,16600.0,1,2015-02,2015-06
2015-06-14,2015-02-14,경상남도,0.637182791641732,0.04872722609174329,-0.020567223909522734,-0.030592350669632642,16600.0,11,2015-02,2015-06
2015-06-14,2015-02-14,경상북도,1.8025637619067238,0.47825331593568265,0.22251947429731017,0.6449274914952865,16600.0,4,2015-02,2015-06
2015-06-14,2015-02-14,광주광역시,3.067866265833627,0.09009604097812036,-0.6272990366254427,-1.0998948391507064,16600.0,12,2015-02,2015-06
2015-06-14,2015-02-14,대구광역시,1.754795269403917,-0.5756974161174021,-0.2822260218201627,0.04731457216382291,16600.0,9,2015-02,2015-06
2015-06-14,2015-02-14,대전광역시,1.786122108490058,-0.13409542319592865,-0.16523925303583553,-0.07414698468354411,16600.0,7,2015-02,2015-06
2015-06-14,2015-02-14,부산광역시,0.5753662532909898,0.07148762467759076,0.44350523532287683,1.0277087302191419,16600.0,13,2015-02,2015-06
2015-06-14,2015-02-14,서울특별시,3.8788230387878393,-1.833654204439905,-0.7191821902288266,0.6495466460123573,16600.0,3,2015-02,2015-06
2015-06-14,2015-02-14,울산광역시,1.3146701906564413,-0.3440717987334316,0.05265877349662564,0.6964729830691991,16600.0,10,2015-02,2015-06
2015-06-14,2015-02-14,인천광역시,2.3794647535252587,-0.46112458278402085,-0.04435115618674427,0.7341254381358615,16600.0,2,2015-02,2015-06
2015-06-14,2015-02-14,전라남도,0.8354358714892756,0.6374030807362063,0.21674711873417077,0.06992916646253898,16600.0,14,2015-02,2015-06
2015-06-14,2015-02-14,전라북도,0.792359361771476,0.5522978646375045,-0.02303864760716271,-0.4186028909538363,16600.0,8,2015-02,2015-06
2015-06-14,2015-02-14,충청남도,0.25783116669504236,0.16843567295615747,-0.26087487246764335,-0.7803070032064862,16600.0,6,2015-02,2015-06
2015-06-14,2015-02-14,충청북도,3.071532397264869,-0.43559949600437625,-0.2601567513974665,0.306370769345878,16600.0,5,2015-02,2015-06
2015-06-15,2015-02-15,강원도,2.9746492627896446,1.9973214601633005,0.2835677917420275,-0.2936081565757131,12000.0,0,2015-02,2015-06
2015-06-15,2015-02-15,경기도,3.278971502802779,0.38800884352169673,-0.09442437583135738,0.31506344855061924,12000.0,1,2015-02,2015-06
2015-06-15,2015-02-15,경상남도,4.233325249867191,0.73707336106328,-0.4956330879449969,-1.1915253654307465,12000.0,11,2015-02,2015-06
2015-06-15,2015-02-15,경상북도,3.102291873633128,1.4780626180543166,0.3774493613398631,0.6986710265203321,12000.0,4,2015-02,2015-06
2015-06-15,2015-02-15,광주광역시,4.475468926578011,0.9431277205485026,-0.8793690801691568,-2.250454011897024,18000.0,12,2015-02,2015-06
